sn85049554	Evening times-Republican	Daily	Times-Republican Print. Co	Marshalltown	IA	Marshalltown, IA	42.04304	-92.90853	RDF	http://sws.geonames.org/4866372/		https://chroniclingamerica.loc.gov/lccn/sn85049554/
sn86089977	The Jimplecute	Weekly	Taylor & Taylor	Jefferson	TX	Jefferson, TX	32.75736	-94.34519	RDF	http://sws.geonames.org/4700817/		https://chroniclingamerica.loc.gov/lccn/sn86089977/
sn86069667	Breathitt County news	Weekly	J. Wise Hagins	Jackson	KY	Jackson, KY	37.55315	-83.38351	RDF	http://sws.geonames.org/4296081/		https://chroniclingamerica.loc.gov/lccn/sn86069667/
sn88064176	The Colfax chronicle	Weekly	H.G. Goodwyn	Colfax	LA	Colfax, LA	41.574	-97.086	QUERIED, found	http://www.geonames.org/search.html?q=Colfax%2C+LA&country=US	/maps/google_41.574_-97.086.html	https://chroniclingamerica.loc.gov/lccn/sn88064176/
sn84026912	Keowee courier	Weekly	W.H. Trimmier	Pickens Court House	SC	Pickens Court House, SC	34.883	-82.707	QUERIED, found	http://www.geonames.org/search.html?q=Pickens+Court+House%2C+SC&country=US	/maps/google_34.883_-82.707.html	https://chroniclingamerica.loc.gov/lccn/sn84026912/
sn95047298	The Palatka news	Weekly	Russell & Vickers	Palatka	FL	Palatka, FL	29.64858	-81.63758	RDF	http://sws.geonames.org/4167482/		https://chroniclingamerica.loc.gov/lccn/sn95047298/
sn83045433	The Washington herald	Daily	Washington Herald Co	Washington	DC	Washington, DC	38.895	-77.036	QUERIED, found	http://www.geonames.org/search.html?q=Washington%2C+DC&country=US	/maps/google_38.895_-77.036.html	https://chroniclingamerica.loc.gov/lccn/sn83045433/
2012218672	The sentinel-journal	Weekly	The Sentinel-Journal Co	Pickens	SC	Pickens, SC	34.683	-82.837	QUERIED, found	http://www.geonames.org/search.html?q=Pickens%2C+SC&country=US	/maps/google_34.683_-82.837.html	https://chroniclingamerica.loc.gov/lccn/2012218672/
sn83045396	The Salt Lake tribune	Daily	Tribune Pub. Co	Salt Lake City	UT	Salt Lake City, UT	40.76078	-111.89105	RDF	http://sws.geonames.org/5780993/		https://chroniclingamerica.loc.gov/lccn/sn83045396/
sn84024283	Iron County register	Weekly	Essex & Winfield	Ironton	MO	Ironton, MO	37.597	-90.627	QUERIED, found	http://www.geonames.org/search.html?q=Ironton%2C+MO&country=US	/maps/google_37.597_-90.627.html	https://chroniclingamerica.loc.gov/lccn/sn84024283/
sn85053308	The Wibaux pioneer	Weekly	W.A. Shear	Wibaux	MT	Wibaux, MT	46.965	-104.249	QUERIED, found	http://www.geonames.org/search.html?q=Wibaux%2C+MT&country=US	/maps/google_46.965_-104.249.html	https://chroniclingamerica.loc.gov/lccn/sn85053308/
sn86063758	The herald and news	Weekly	E.H. Aull			Newberry S.C.	44.0564	-121.3081	QUERIED, wiki	http://www.geonames.org/search.html?q=Newberry+S.C.&country=US	/maps/wikipedia_44.0564_-121.3081.html	https://chroniclingamerica.loc.gov/lccn/sn86063758/
sn87065028	The Columbus commercial	Weekly	J.T. Senter	Columbus	MS	Columbus, MS	33.49567	-88.42726	RDF	http://sws.geonames.org/4422442/		https://chroniclingamerica.loc.gov/lccn/sn87065028/
sn92070446	The San Juan County index	Weekly	Allen T. Bard	Aztec	NM	Aztec, NM	36.82223	-107.99285	RDF	http://sws.geonames.org/5456049/		https://chroniclingamerica.loc.gov/lccn/sn92070446/
sn94056928	Clayton enterprise	Weekly	J.E. Curren	Clayton	NM	Clayton, NM	36.45169	-103.1841	RDF	http://sws.geonames.org/5462269/		https://chroniclingamerica.loc.gov/lccn/sn94056928/
sn86091096	The Kendrick gazette	Weekly	Joseph S. Vincent	Kendrick	ID	Kendrick, ID	46.614	-116.647	QUERIED, found	http://www.geonames.org/search.html?q=Kendrick%2C+ID&country=US	/maps/google_46.614_-116.647.html	https://chroniclingamerica.loc.gov/lccn/sn86091096/
sn82015675	The Richmond palladium	Daily	Palladium Print. Co	Richmond	IN	Richmond, IN	33.471	-81.975	QUERIED, found	http://www.geonames.org/search.html?q=Richmond%2C+IN&country=US	/maps/google_33.471_-81.975.html	https://chroniclingamerica.loc.gov/lccn/sn82015675/
sn86091109	Lewiston evening teller	Daily	Teller Pub. Co	Lewiston	ID	Lewiston, ID	46.41655	-117.01766	RDF	http://sws.geonames.org/5598538/		https://chroniclingamerica.loc.gov/lccn/sn86091109/
sn83032040	Cameron County press	Weekly	C.B. Gould	Emporium	PA	Emporium, PA	41.51145	-78.23529	RDF	http://sws.geonames.org/5188737/		https://chroniclingamerica.loc.gov/lccn/sn83032040/
sn86069117	Daily public ledger	Daily	Public Ledger Co	Maysville	KY	Maysville, KY	38.64119	-83.74437	RDF	http://sws.geonames.org/4300152/		https://chroniclingamerica.loc.gov/lccn/sn86069117/
sn89066489	The Butler weekly times	Weekly	Chas. T. McFarland	Butler	MO	Butler, MO	36.757	-90.393	QUERIED, found	http://www.geonames.org/search.html?q=Butler%2C+MO&country=US	/maps/google_36.757_-90.393.html	https://chroniclingamerica.loc.gov/lccn/sn89066489/
sn86063823	The Roswell daily record	Daily	[H.E.M. Bear]	Roswell	NM	Roswell, NM	33.394	-104.525	QUERIED, found	http://www.geonames.org/search.html?q=Roswell%2C+NM&country=US	/maps/google_33.394_-104.525.html	https://chroniclingamerica.loc.gov/lccn/sn86063823/
sn86088114	The twice=a=week herald	Semiweekly	Amarillo Pub. Co	Amarillo	TX	Amarillo, TX	35.222	-101.8313	RDF	http://sws.geonames.org/5516233/		https://chroniclingamerica.loc.gov/lccn/sn86088114/
sn87096017	The Oakes times	Weekly	Alex. R. Wright	Oakes	ND	Oakes, ND	46.13858	-98.09038	RDF	http://sws.geonames.org/5060756/		https://chroniclingamerica.loc.gov/lccn/sn87096017/
sn87065612	The Starkville news	Weekly	News Print. Co	Starkville	MS	Starkville, MS	33.45	-88.82	QUERIED, found	http://www.geonames.org/search.html?q=Starkville%2C+MS&country=US	/maps/google_33.45_-88.82.html	https://chroniclingamerica.loc.gov/lccn/sn87065612/
2012271201	Cronaca sovversiva	Weekly	Cronaca Sovversiva	Barre	VT	Barre, VT	42.46676	-70.94949	RDF	http://sws.geonames.org/4942807/		https://chroniclingamerica.loc.gov/lccn/2012271201/
sn86053936	Scranton Wochenblatt	Weekly	Friedrich Wagner	Scranton	PA	Scranton, PA	41.40916	-75.6649	RDF	http://sws.geonames.org/5211303/		https://chroniclingamerica.loc.gov/lccn/sn86053936/
sn85000631	The Washburn leader	Weekly	R.H. Copeland	Washburn	ND	Washburn, ND	47.28916	-101.02903	RDF	http://sws.geonames.org/5692806/		https://chroniclingamerica.loc.gov/lccn/sn85000631/
sn90060824	Wiarus	Semiweekly	Hieronim Derdowski	Winona	MN	Winona, MN	44.04996	-91.63932	RDF	http://sws.geonames.org/5053156/		https://chroniclingamerica.loc.gov/lccn/sn90060824/
sn84021930	Douglas Island news	Weekly	A.G. McBride	Douglas City	AK	Douglas City, AK	58.27564	-134.39302	RDF	http://sws.geonames.org/5845826/		https://chroniclingamerica.loc.gov/lccn/sn84021930/
sn84024055	The broad ax	Weekly	Julius F. Taylor	Salt Lake City	UT	Salt Lake City, UT	40.761	-111.891	QUERIED, found	http://www.geonames.org/search.html?q=Salt+Lake+City%2C+UT&country=US	/maps/google_40.761_-111.891.html	https://chroniclingamerica.loc.gov/lccn/sn84024055/
